Product Description,F,M
Google Ballpoint Pen Black,48,19
Google Blackout Cap,163,101
Google Braille Tee Black,15,7
Google Canvas Tote Natural/Navy,143,70
Google Collapsible Pet Bowl,75,37
Google Crew Sweater Navy,93,42
Google Crewneck Sweatshirt Navy,34,19
Google Doodle Decal,188,132
Google Emoji Sticker Pack,26,11
Google Executive Umbrella,23,18
Google Flower Tee Purple,9,4
Google French Terry Cap,8,4
Google Hard Cover Journal,79,51
Google Hub Mug White,3,1
Google Infant Short Sleeve Tee Cornflower Blue,5,
Google Infant Short Sleeve Tee Green,5,1
Google Infant Short Sleeve Tee Red,41,16
Google Infant Short Sleeve Tee Royal Blue,6,13
Google Infant Short Sleeve Tee White,41,24
Google Infant Zip Hood Pink,32,14
Google Infant Zip Hood Royal Blue,33,16
Google Infuser-Top Water Bottle,22,11
Google Insulated Stainless Steel Bottle,23,18
Google Kick Ball,176,105
Google Laptop and Cell Phone Stickers,495,311
Google Laptop Backpack,43,16
Google Large Standard Journal Grey,1,
Google Large Standard Journal Navy,66,20
Google Leather Journal-Black,33,15
Google Leather Journal-Brown,22,19
Google Leather Perforated Journal,26,24
Google Lunch Bag,52,44
Google Men's 3/4 Sleeve Raglan Henley Grey,18,7
Google Men's 100% Cotton Short Sleeve Hero Tee Black,369,226
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,215,141
Google Men's 100% Cotton Short Sleeve Hero Tee Red,175,96
Google Men's 100% Cotton Short Sleeve Hero Tee White,287,217
Google Men's Airflow 1/4 Zip Pullover Black,35,20
Google Men's Airflow 1/4 Zip Pullover Lapis,57,41
Google Men's Around The Block Short Sleeve Tee Ash,40,15
Google Men's Bayside Graphic Tee,68,50
Google Men's Bike Short Sleeve Tee Charcoal,263,168
Google Men's Colorblock Tee White/Heather,16,6
Google Men's Convertible Vest-Jacket Pewter,9,5
Google Men's Heavyweight Long Sleeve Hero Tee Burgundy,5,4
Google Men's Heavyweight Long Sleeve Hero Tee Navy,,5
Google Men's Lightweight Microfleece Jacket Black,41,34
Google Men's Long & Lean Tee Charcoal,164,82
Google Men's Long & Lean Tee Grey,25,17
Google Men's Long Sleeve Pullover Badge Tee Heather,16,15
Google Men's Long Sleeve Raglan Cranberry,15,4
Google Men's Long Sleeve Raglan Ocean Blue,119,43
Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,42,31
Google Men's Microfiber 1/4 Zip Pullover Grey/Black,4,2
Google Men's Performance 1/4 Zip Pullover Heather/Black,63,29
Google Men's Performance Full Zip Jacket Black,60,33
Google Men's Performance Hero Tee Gunmetal,29,31
Google Men's Performance Polo Grey/Black,11,7
Google Men's Pullover Hoodie Grey,63,46
Google Men's Quilted Insulated Vest Battleship Grey,60,35
Google Men's Quilted Insulated Vest Black,76,44
Google Men's Short Sleeve Badge Tee Charcoal,146,69
Google Men's Short Sleeve Hero Tee Charcoal,145,88
Google Men's Short Sleeve Hero Tee Heather,59,34
Google Men's Short Sleeve Hero Tee Light Blue,33,28
Google Men's Short Sleeve Performance Badge Tee Black,96,47
Google Men's Short Sleeve Performance Badge Tee Charcoal,61,40
Google Men's Short Sleeve Performance Badge Tee Navy,63,25
Google Men's Short Sleeve Performance Badge Tee Pewter,110,56
Google Men's Skater Tee Grey,82,52
Google Men's Vintage Badge Tee Black,311,185
Google Men's Vintage Badge Tee Sage,240,127
Google Men's Vintage Badge Tee White,206,130
Google Men's Vintage Tank,72,39
Google Men's Watershed Full Zip Hoodie Grey,109,67
Google Men's  Zip Hoodie,230,132
Google Metallic Notebook Set,231,147
Google Onesie Green,41,18
Google Onesie Red,29,19
Google Onesie Red/Graphite,42,27
Google Onesie Royal Blue,18,8
Google Pet Feeding Mat,73,42
Google Protector Tee Navy,13,9
Google RFID Journal,82,52
Google Rolltop Backpack Blue,15,12
Google Rucksack,114,67
Google Slim Utility Travel Bag,36,15
Google Snapback Black Cap,26,13
Google Snapback Hat Black,31,14
Google Snapback Navy Cap,18,13
Google Spiral Journal with Pen,51,41
Google Spiral Leather Journal,28,17
Google Stretch Fit Hat L/XL Navy,4,3
Google Stretch Fit Hat M/L Navy,15,6
Google Stretch Fit Hat S/M Navy,8,7
Google Stylus Pen w/ LED Light,122,59
Google Sunglasses,917,606
Google Tee Blue,118,69
Google Tee Green,127,55
Google Tee Red,2,
Google Tee Yellow,21,16
Google Thermal Bottle Blue,29,14
Google Thermal Bottle Green,17,9
Google Thermal Bottle Red,23,10
Google Thermal Bottle Yellow,11,5
Google Toddler 1/4 Zip Fleece Pewter,7,7
Google Toddler Hoodie Royal Blue,22,11
Google Toddler Raglan Shirt Blue Heather/Navy,19,18
Google Toddler Short Sleeve T-shirt Green,5,1
Google Toddler Short Sleeve T-shirt Grey,40,28
Google Toddler Short Sleeve T-shirt Royal Blue,21,13
Google Toddler Short Sleeve T-shirt Yellow,4,1
Google Toddler Short Sleeve Tee Red,43,26
Google Toddler Short Sleeve Tee White,51,39
Google Toddler Sports T-shirt Red,5,8
Google Tote Bag,44,28
Google Tri-blend Hoodie Grey,86,56
Google Trike Tee Black,28,12
Google Trucker Hat,36,15
Google Twill Cap,337,209
Google Vintage Henley Grey/Black,68,36
Google White Force 17 oz Bottle,2,1
Google Women's 1/4 Zip Jacket Charcoal,25,19
Google Women's 1/4 Zip Performance Pullover Black,27,27
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,29,28
Google Women's Coder Tee Navy,1,3
Google Women's Colorblock Tee White,,1
Google Women's Convertible Vest-Jacket Black,18,9
Google Women's Convertible Vest-Jacket Sea Foam Green,44,31
Google Women's Fleece Hoodie,82,48
Google Women's Lightweight Microfleece Jacket,46,42
Google Women's Long Sleeve Blended Cardigan Charcoal,62,33
Google Women's Long Sleeve Tee Lavender,46,43
Google Women's Performance Golf Polo Blue,62,42
Google Women's Performance Hero Tee Gunmetal,20,7
Google Women's Performance Polo Grey/Black,6,
Google Women's Quilted Insulated Vest Black,27,18
Google Women's Quilted Insulated Vest White,27,20
Google Women's Scoop Neck Tee Black,155,85
Google Women's Scoop Neck Tee Green,5,3
Google Women's Scoop Neck Tee White,112,78
Google Women's Shell Jacket Blue/Black,20,19
Google Women's Short Sleeve Badge Tee Grey,156,80
Google Women's Short Sleeve Badge Tee Navy,68,33
Google Women's Short Sleeve Badge Tee Red Heather,11,3
Google Women's Short Sleeve Hero Dark Grey,3,4
Google Women's Short Sleeve Hero Tee Black,98,62
Google Women's Short Sleeve Hero Tee Grey,164,92
Google Women's Short Sleeve Hero Tee Heather,102,45
Google Women's Short Sleeve Hero Tee Red Heather,65,33
Google Women's Short Sleeve Hero Tee Sky Blue,46,34
Google Women's Short Sleeve Hero Tee White,141,73
Google Women's Short Sleeve Performance Tee Black,9,1
Google Women's Short Sleeve Performance Tee Charcoal,33,18
Google Women's Short Sleeve Performance Tee Navy,15,2
Google Women's Short Sleeve Performance Tee Pewter,25,17
Google Women's Softshell Jacket Black/Grey,11,12
Google Women's Tee Grey,171,75
Google Women's Vintage Hero Tee Black,172,121
Google Women's Vintage Hero Tee Lavender,136,75
Google Women's Vintage Hero Tee Platinum,64,42
Google Women's Vintage Hero Tee White,61,34
Google Women's Yoga Jacket Black,52,40
Google Women's Yoga Pants,11,4
Google Women's Zip Hoodie Grey,4,1
Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,49,28
Google Wool Heather Cap Heather/Navy,27,10
Google Youth Baseball Raglan Heather/Black,51,31
Google Youth Girl Hoodie,27,20
Google Youth Girl Tee Green,16,14
Google Youth Short Sleeve T-shirt Green,36,12
Google Youth Short Sleeve T-shirt Royal Blue,18,13
Google Youth Short Sleeve T-shirt Yellow,22,13
Google Youth Short Sleeve Tee Red,49,28
Google Youth Short Sleeve Tee White,30,32
Google Youth Sports Tee Navy,14,2
Google Zip Hoodie Black,28,18
Google Zipper-front Sports Bag,24,17
Grip Highlighter Pen 3 Pack,26,7
Gunmetal Roller Ball Pen,27,14
Insulated Bottle,27,19
Keyboard DOT Sticker,123,65
Large Zipper Top Tote Bag,13,10
Leather and Metal Ballpoint Pen,26,9
Leatherette Journal,148,72
Maze Pen,244,130
Men's Softshell Jacket Black/Grey,32,23
Men's Weatherblock Shell Jacket Black,61,50
Metal Texture Roller Pen,40,24
Nest Cam Indoor Security Camera - CA,53,26
Nest Cam Indoor Security Camera - USA,1999,1231
Nest Cam IQ - CA,2,2
Nest Cam IQ - USA,358,241
Nest Cam IQ Outdoor - USA (Preorder),91,57
Nest Cam Outdoor Security Camera - CA,33,27
Nest Cam Outdoor Security Camera - USA,2053,1275
Nest Detect - USA,51,23
Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,65,44
Nest Learning Thermostat 3rd Gen-USA - Copper,258,135
Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,2136,1375
Nest Learning Thermostat 3rd Gen-USA - White,698,391
Nest Protect Smoke + CO Black Battery Alarm-USA,9,8
Nest Protect Smoke + CO Black Wired Alarm-USA,9,10
Nest Protect Smoke + CO White Battery Alarm - CA,25,13
Nest Protect Smoke + CO White Battery Alarm-USA,814,547
Nest Protect Smoke + CO White Wired Alarm - CA,21,10
Nest Protect Smoke + CO White Wired Alarm-USA,666,399
Nest Secure Alarm System Starter Pack - USA,286,212
Nest Tag - USA,13,8
Nest  Thermostat E - CA,5,5
Nest Thermostat E - USA,520,324
Pen Pencil & Highlighter Set,72,46
Rainbow Stylus Pen,34,20
Recycled Paper Journal Set,199,98
Red Shine 15 oz Mug,191,124
Red Spiral Google Notebook,49,31
Retractable Ballpoint Pen Red,22,12
Reusable Shopping Bag,42,22
Rubber Grip Ballpoint Pen 4 Pack,67,38
Satin Black Ballpoint Pen,55,23
Seat Pack Organizer,17,9
Softsided Travel Pouch Set,9,9
SPF-15 Slim & Slender Lip Balm,73,49
Spiral Notebook and Pen Set,70,51
Sport Bag,247,161
Straw Beach Mat,8,4
Suitcase Organizer Cubes,34,24
Switch Tone Color Crayon Pen,92,61
UpCycled Bike Saddle Bag,9,4
UpCycled Handlebar Bag,6,3
Waterproof Backpack,85,40
Waterproof Gear Bag,24,7
Waze Baby on Board Window Decal,42,36
Waze Dress Socks,45,25
Waze Men's Short Sleeve Tee,27,18
Waze Men's Typography Short Sleeve Tee,10,12
Waze Mobile Phone Vent Mount,102,63
Waze Mood Happy Window Decal,22,8
Waze Mood Ninja Window Decal,34,34
Waze Mood Original Window Decal,34,21
Waze Pack of 9 Decal Set,13,13
Waze Women's Short Sleeve Tee,4,6
Waze Women's Typography Short Sleeve Tee,7,4
Windup Android,238,143
Women's Performance Full Zip Jacket Black,52,24
Women's Weatherblock Shell Jacket Black,26,17
Yoga Block,20,6
Yoga Mat Blue,42,25
Yoga Mat Purple,10,1
You Tube Toddler Short Sleeve Tee Red,33,21
YouTube 3 lines Tee Grey,24,8
YouTube Custom Decals,271,148
YouTube Hard Cover Journal,36,25
YouTube Infant Short Sleeve Tee Red,5,1
YouTube Kids Onesie White,6,2
YouTube Kids Tee Black,3,2
YouTube Kids Tee White,9,6
YouTube Leatherette Notebook Combo,74,52
YouTube Men's 3/4 Sleeve Henley,2,2
YouTube Men's Fleece Hoodie Black,86,48
YouTube Men's Long & Lean Tee Charcoal,36,40
YouTube Men's Long Sleeve Pullover Badge Tee Heather,9,1
YouTube Men's Short Sleeve Hero Tee Black,110,74
YouTube Men's Short Sleeve Hero Tee Charcoal,91,69
YouTube Men's Short Sleeve Hero Tee  White,11,4
YouTube Men's Short Sleeve Hero Tee White,37,14
YouTube Men's Skater Tee Charcoal,19,8
YouTube Men's Vintage Henley,50,37
YouTube Men's Vintage Tank,50,19
YouTube Men's Vintage Tee,17,16
YouTube Notebook and Pen Set,15,17
YouTube Onesie Heather,20,19
YouTube RFID Journal,12,12
YouTube Spiral Journal with Pen,18,15
YouTube Tee Black,58,27
YouTube Transmission Journal Black,5,2
YouTube Trucker Hat,20,6
YouTube Twill Cap,120,62
YouTube Women's Favorite Tee White,7,5
YouTube Women's Fleece Hoodie Black,51,25
YouTube Women's Racer Back Tank Black,5,
YouTube Women's Short Sleeve Hero Tee Charcoal,35,18
YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,47,36
YouTube Women's Short Sleeve Tri-blend Badge Tee Grey,10,1
YouTube Womens 3/4 Sleeve Baseball Raglan White/Black,7,
YouTube Wool Heather Cap Heather/Black,12,3
YouTube Youth Short Sleeve Tee Red,75,41
